plate,totalowed
ABT15,2000
ABT40,2000
ABT30,2000
ABT6,2000
ABT20,2000
ABT21,2000
T747387C,1999.03
T737683C,1999.03
7L56B,1998.9999999999998
6L91H,1998.9999999999998
T799191C,1997.5
T723714C,1996.51
T762378C,1996.25
T764801C,1995.04
T794277C,1995.04
T695245C,1995.04
T753402C,1995.04
T759492C,1995.04
T787941C,1995
T769199C,1995
T787938C,1995
T787939C,1995
T787931C,1995
T793871C,1995
T787932C,1995
T787942C,1995
T751831C,1994.8600000000001
T678499C,1990.99
T665363C,1990.7500000000002
T643428C,1980.43
T796930C,1980
T101266C,1980
T799139C,1980
T102228C,1980
T783693C,1980
T101558C,1980
T101269C,1980
T797275C,1980
T796965C,1980
T793651C,1980
T101557C,1980
T797009C,1980
T797066C,1980
T799405C,1980
T805157C,1979.7
T525510C,1977.7999999999997
T102683C,1976.0300000000002
T690513C,1975
8V48A,1974.79
8V47H,1974.79
T806300C,1974.42
4D87C,1972.3100000000006
T794433C,1972.05
T791005C,1972.05
T751890C,1972.05
T102548C,1972.05
T759314C,1972.05
T775486C,1970
9V42A,1969.03
9V43A,1969.03
T795745C,1968.36
1N95C,1967.6599999999999
1N96B,1967.6599999999999
T636217C,1966.46
T805106C,1966.46
T805105C,1966.46
T714753C,1966.46
T669222C,1966.46
T795143C,1966.46
T103783C,1966.46
T799294C,1966.46
T656735C,1966.46
T697905C,1965.37
T749944C,1965.1100000000001
KEYON1,1960
T689471C,1960
T785092C,1957.73
T802382C,1953.6599999999999
T102281C,1953.38
T685621C,1950
T667274C,1950
T800793C,1950
T781131C,1949.3400000000001
T781130C,1949.3400000000001
T633807C,1947.24
T776476C,1946.6399999999999
T638902C,1945.81
T788641C,1945.76
T794834C,1945.76
T512948C,1945.05
T776056C,1937.44
T791177C,1937.24
T773806C,1937.24
T103695C,1936.91
8V50A,1936.33
8V49H,1936.33
T790926C,1935.29
T778883C,1927.6200000000001
T670260C,1925.25
T741322C,1925
T102227C,1921.42
T785216C,1920.71
PAYAM,1914.3899999999999
1BRAH1M5,1914.3899999999999
9V32A,1911.81
9V33H,1911.81
BATISTA,1907.4700000000003
T723136C,1905.73
T680019C,1905.73
T757737C,1903.22
T790825C,1900.76
T685729C,1900.0700000000002
T102504C,1897.74
2R79H,1896.4099999999994
2R78H,1896.4099999999994
T765149C,1892.72
T754705C,1891.05
T658343C,1890
T797110C,1890
T792459C,1890
T102629C,1890
T800377C,1890
T715224C,1890
1T24H,1889.88
T800395C,1881.87
T795693C,1881.85
FRL25,1878.5
T694431C,1875
T700931C,1874.87
T744582C,1873.18
T803734C,1870.02
T755809C,1867.63
T637477C,1867.02
T671641C,1867.02
T788857C,1867.02
T690200C,1867.02
T794654C,1867.02
T639861C,1867.02
T711238C,1867.02
T793723C,1867.02
T701451C,1867.02
T699255C,1867.02
T755289C,1866.07
T761770C,1866.07
T786774C,1866.07
T802099C,1865
T791325C,1864.37
T791160C,1864.37
5B36H,1859.3999999999999
T758205C,1855.98
T657693C,1855.98
T657694C,1855.98
T752582C,1855.5
T805845C,1855
T707772C,1854.74
T797008C,1854.24
T677115C,1853.3100000000002
T807190C,1852.52
T789032C,1852.11
7P20H,1849.52
7P19C,1849.52
T779981C,1849.12
T756604C,1847.6
T758515C,1845
T807764C,1845
T792081C,1845
T806908C,1845
T792064C,1845
T767941C,1845
T772298C,1845
T789587C,1844.98
9M95H,1844.1900000000003
9M94H,1844.1900000000003
1R27H,1843.44
1R26J,1843.44
T788830C,1842.27
T799419C,1842.27
T762371C,1840.56
T676512C,1840
T779764C,1839.45
T803662C,1835
T774005C,1831.76
T803710C,1831.5500000000002
